,Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_damage,Aircraft_Category,Registration_Number,Make,Model,Amateur_Built,Number_of_Engines,Engine_Type,FAR_Description,Schedule,Purpose_of_flight,Air_carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_phase_of_flight,Report_Status,Publication_Date,Year,State,Region,Total_Passengers,Fatality_pct,Injured_pct,Airplane_Damage,Airplane_Damage_quant
56790,20040628X00877,Accident,CHI04CA135,2004-06-04,"WICHITA, KS",United States,37.65,-97.433056,,,Non-Fatal,Substantial,Airplane,N59027,Cessna,T210L,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,3.0,VMC,Approach,Probable Cause,01-09-2004,2004,KS,SW,4.0,0.0,25.0,Substantial,2
56791,20040701X00895,Accident,ATL04CA125,2004-06-04,"SAVANNAH, TN",United States,35.458333,-88.216667,SNH,Savannah Hardin County,Non-Fatal,Substantial,Airplane,N39190,Taylorcraft,DC-65,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,28-06-2006,2004,TN,SE,1.0,0.0,100.0,Substantial,2
56803,20040617X00831,Accident,CHI04CA143,2004-06-06,"FOREST LAKE, MN",United States,45.247777,-92.994444,,,Non-Fatal,Substantial,Airplane,N6620F,Cessna,150F,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Descent,Probable Cause,01-09-2004,2004,MN,NE,1.0,0.0,0.0,Substantial,2
56805,20040617X00828,Accident,CHI04CA139,2004-06-06,"HAMBERG, ND",United States,47.659722,-99.661111,,,Non-Fatal,Substantial,Airplane,N736QX,Cessna,TR182,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,01-09-2004,2004,ND,NW,1.0,0.0,0.0,Substantial,2
56806,20040707X00913,Accident,ATL04CA127,2004-06-06,"DECATUR, AL",United States,34.650278,-86.945,PVT,Hampton-Russell Airstrip,Non-Fatal,Substantial,Airplane,N10424,Cessna,150,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,29-09-2004,2004,AL,SE,1.0,0.0,100.0,Substantial,2
56808,20040729X01100,Accident,MIA04CA094,2004-06-07,"LAKE WALES, FL",United States,27.953611,-81.601389,KX25,Chalet Suzanne,Non-Fatal,Substantial,Airplane,N41916,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,29-09-2004,2004,FL,SE,2.0,0.0,0.0,Substantial,2
56826,20040709X00941,Accident,CHI04CA154,2004-06-10,"GOLDEN, MO",United States,31.611944,-93.676945,,,Non-Fatal,Substantial,Airplane,N3911N,Mooney,M20C,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,0.0,VMC,Landing,Probable Cause,01-09-2004,2004,MO,NE,1.0,0.0,100.0,Substantial,2
56827,20040709X00938,Accident,CHI04CA152,2004-06-10,"HILLSBORO, ND",United States,47.484722,-97.074723,5ND9,Deck Airport,Non-Fatal,Substantial,Airplane,N737SV,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,01-09-2004,2004,ND,NW,1.0,0.0,0.0,Substantial,2
56836,20040709X00940,Accident,CHI04CA153,2004-06-12,"JOLIET, IL",United States,41.517778,-88.175556,JOT,Joliet Regional Airport,Non-Fatal,Substantial,Airplane,N1970K,Luscombe,8E,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,01-09-2004,2004,IL,NE,1.0,0.0,100.0,Substantial,2
56844,20040717X00997,Accident,LAX04CA238,2004-06-13,"ANZA, CA",United States,33.520834,-116.796666,54CL,Lake Riverside Estates,Non-Fatal,Substantial,Airplane,N9009J,Piper,PA-28-180,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,29-09-2004,2004,CA,SW,2.0,0.0,0.0,Substantial,2
56847,20040628X00878,Accident,CHI04CA150,2004-06-13,"WAUKESHA, WI",United States,43.041111,-88.236944,,,Non-Fatal,Substantial,Airplane,N5664R,Maule,MX7235,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,01-09-2004,2004,WI,NE,1.0,0.0,0.0,Substantial,2
56849,20040714X00973,Accident,ATL04CA131,2004-06-13,"MERIDIANVILLE, AL",United States,34.861389,-86.557222,KMDQ,Madison County Executive,Non-Fatal,Substantial,Airplane,N98981,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,28-06-2006,2004,AL,SE,1.0,0.0,0.0,Substantial,2
56867,20040630X00891,Accident,CHI04CA140,2004-06-16,"MOUNT PLEASANT, MI",United States,43.713611,-84.707778,,,Non-Fatal,Substantial,Airplane,N3915V,Cessna,150H,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,01-09-2004,2004,MI,NE,1.0,0.0,0.0,Substantial,2
56881,20040722X01037,Accident,ATL04CA134,2004-06-19,"ELLIJAY, GA",United States,34.618334,-84.530556,49A,Ellijay Glimer County,Non-Fatal,Substantial,Airplane,N7393C,Cessna,T210N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,0.0,VMC,Landing,Probable Cause,28-06-2006,2004,GA,SE,2.0,0.0,100.0,Substantial,2
56888,20040716X00994,Accident,CHI04CA164,2004-06-20,"MT. VERNON, IL",United States,38.323334,-88.858611,MVN,Mount Vernon,Non-Fatal,Substantial,Airplane,N3234Q,Cessna,401,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,29-09-2004,2004,IL,NE,2.0,0.0,0.0,Substantial,2
56889,20040716X00993,Accident,CHI04CA160,2004-06-20,"CARMI, IL",United States,38.089444,-88.123056,CUL,Carmi Muni,Non-Fatal,Substantial,Airplane,N7690E,Champion,7FC,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,29-09-2004,2004,IL,NE,1.0,0.0,100.0,Substantial,2
56890,20040729X01095,Accident,ATL04CA136,2004-06-20,"COLUMBIA, TN",United States,35.697222,-86.956944,PVT,Hunter Field,Non-Fatal,Substantial,Airplane,N1435L,Beech,A23,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,29-09-2004,2004,TN,SE,1.0,0.0,100.0,Substantial,2
56896,20040803X01138,Accident,SEA04CA116,2004-06-21,"FLORENCE, OR",United States,43.978889,-124.109444,6S2,FLORENCE MUNI,Non-Fatal,Substantial,Airplane,N9827Y,Champion,7GCB,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,29-09-2004,2004,OR,NW,1.0,0.0,0.0,Substantial,2
56910,20040714X00968,Accident,CHI04CA169,2004-06-23,"MANKATO, MN",United States,44.221667,-93.918889,,,Non-Fatal,Substantial,Airplane,N88089,Bellanca,8GCBC,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,01-09-2004,2004,MN,NE,1.0,0.0,100.0,Substantial,2
56929,20040716X00995,Accident,CHI04CA166,2004-06-26,"SAGINAW, MI",United States,43.433333,-83.8625,KHYX,Saginaw H W Browne,Non-Fatal,Substantial,Airplane,N23342,Beech,23,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,29-09-2004,2004,MI,NE,4.0,0.0,0.0,Substantial,2
56940,20040709X00939,Accident,LAX04CA252,2004-06-29,"CASA GRANDE, AZ",United States,32.954722,-111.766945,KCGZ,Casa Grande,Non-Fatal,Substantial,Airplane,N8717V,Bellanca,7KCAB,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,01-09-2004,2004,AZ,SW,2.0,0.0,0.0,Substantial,2
56942,20040730X01112,Accident,ATL04CA144,2004-06-29,"THOMASVILLE, GA",United States,30.908333,-83.881111,TVI,THOMASVILLE MUNI,Non-Fatal,Substantial,Airplane,N77ET,Mooney,M-20E,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Approach,Probable Cause,29-09-2004,2004,GA,SE,1.0,0.0,100.0,Substantial,2
56945,20040728X01085,Accident,NYC04CA164,2004-06-30,"STEVENSVILLE, MD",United States,38.976389,-76.329723,W29,Bay Bridge Airport,Non-Fatal,Substantial,Airplane,N421RW,Cessna,172S,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,29-09-2004,2004,MD,NE,1.0,0.0,0.0,Substantial,2
56955,20040721X01022,Accident,CHI04CA172,2004-07-01,"KNOX, IN",United States,41.330278,-86.664722,,,Non-Fatal,Substantial,Airplane,N310WH,Cessna,310P,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,29-09-2004,2004,IN,NE,1.0,0.0,0.0,Substantial,2
56965,20040804X01147,Accident,NYC04CA155,2004-07-03,"NORTH CREEK, NY",United States,43.7,-73.982778,0NY0,Bennetta Airport,Non-Fatal,Substantial,Airplane,N57430,Bellanca,7ECA,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,28-10-2004,2004,NY,NE,2.0,0.0,0.0,Substantial,2
56966,20040810X01183,Accident,DEN04CA096,2004-07-03,"CHEYENNE, WY",United States,41.150833,-106.4525,CYS,Cheyenne,Non-Fatal,Substantial,Airplane,N2KD,Cessna,T210J,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Approach,Probable Cause,29-09-2004,2004,WY,NW,1.0,0.0,100.0,Substantial,2
56969,20040803X01136,Accident,SEA04CA123,2004-07-04,"MALLARD CREEK, ID",United States,45.623334,-115.32,,,Non-Fatal,Substantial,Airplane,N761TD,Cessna,T210M,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,29-09-2004,2004,ID,NW,2.0,0.0,0.0,Substantial,2
56972,20040726X01060,Accident,NYC04CA159,2004-07-04,"ANDOVER, NJ",United States,41.008611,-74.738055,12N,Aeroflex-Andover Airport,Non-Fatal,Substantial,Airplane,N803B,Luscombe,8F,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,29-09-2004,2004,NJ,NE,1.0,0.0,0.0,Substantial,2
56976,20040716X00996,Accident,CHI04CA170,2004-07-04,"RUSH CITY, MN",United States,45.698055,-92.953056,KROS,Rush City Regional,Non-Fatal,Substantial,Airplane,N55930,Piper,PA28-140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,29-09-2004,2004,MN,NE,2.0,0.0,0.0,Substantial,2
56982,20040810X01181,Accident,DEN04CA100,2004-07-05,"LIMON, CO",United States,39.274167,-103.666111,,,Non-Fatal,Substantial,Airplane,N1480E,Aeronca,7AC,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,29-09-2004,2004,CO,SW,1.0,0.0,0.0,Substantial,2
56983,20040810X01182,Accident,DEN04CA099,2004-07-05,"LARAMIE, WY",United States,41.285277,-105.668056,,,Non-Fatal,Substantial,Airplane,N737YJ,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,29-09-2004,2004,WY,NW,2.0,0.0,0.0,Substantial,2
56985,20040901X01338,Accident,CHI04CA176,2004-07-05,"LAKE CITY, MI",United States,44.323056,-85.171111,PVT,Sapphire Lake,Non-Fatal,Substantial,Airplane,N7072B,Piper,PA-18-150,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,28-10-2004,2004,MI,NE,2.0,0.0,0.0,Substantial,2
56986,20040803X01128,Accident,CHI04CA174,2004-07-05,"LANCASTER, WI",United States,42.830278,-90.680834,,,Non-Fatal,Substantial,Airplane,N92422,Cessna,182N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,29-09-2004,2004,WI,NE,2.0,0.0,0.0,Substantial,2
57001,20040729X01094,Accident,FTW04CA181,2004-07-08,"WEINER, AR",United States,35.59,-90.913611,,,Non-Fatal,Substantial,Airplane,N8676X,Cessna,180E,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,29-09-2004,2004,AR,SE,1.0,0.0,0.0,Substantial,2
57025,20040730X01115,Accident,ATL04CA149,2004-07-10,"TALLASSEE, AL",United States,32.516667,-85.883333,,,Non-Fatal,Substantial,Airplane,N6AU,Piper,PA-28-161,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,29-09-2004,2004,AL,SE,1.0,0.0,100.0,Substantial,2
57036,20040724X01057,Accident,LAX04CA263,2004-07-11,"CALIFORNIA CITY, CA",United States,35.151111,-118.016667,L71,California City,Non-Fatal,Substantial,Airplane,N9108C,Cessna,R182,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,29-09-2004,2004,CA,SW,2.0,0.0,0.0,Substantial,2
57042,20040716X00992,Accident,ANC04CA076,2004-07-11,"BETTLES, AK",United States,66.915278,-151.528056,2A4,VOR Lake Waterlane Seaplane,Non-Fatal,Substantial,Airplane,N888FF,Cessna,180J,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,28-10-2004,2004,AK,NW,2.0,0.0,0.0,Substantial,2
57073,20040729X01102,Incident,IAD04IA032,2004-07-16,"Fryeburg, ME",United States,44.016389,-70.980556,IZG,Eastern Slopes Reg. Airport,Incident,Minor,Airplane,N4674L,Aviat Aircraft Inc,A-1A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,05-02-2013,2004,ME,NE,1.0,0.0,0.0,Minor,1
57109,20040816X01226,Accident,ANC04CA082,2004-07-21,"PALMER, AK",United States,61.343333,-148.823334,,,Non-Fatal,Substantial,Airplane,N3458N,Piper,J3C,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,29-09-2004,2004,AK,NW,1.0,0.0,100.0,Substantial,2
57115,20040825X01282,Accident,DEN04CA121,2004-07-22,"MODEL, CO",United States,37.251667,-104.334444,TAD,PERRY STOKES,Non-Fatal,Substantial,Airplane,N7064P,Piper,PA-24-250,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,28-10-2004,2004,CO,SW,1.0,0.0,100.0,Substantial,2
57116,20040831X01333,Accident,ANC04CA083,2004-07-22,"KOTZEBUE, AK",United States,66.885555,-162.583333,,,Non-Fatal,Substantial,Airplane,N2364,Piper,J5A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,28-10-2004,2004,AK,NW,1.0,0.0,0.0,Substantial,2
57118,20040820X01267,Accident,SEA04CA159,2004-07-23,"SEQUIM, WA",United States,48.098055,-123.187222,W28,Sequim Valley Airport,Non-Fatal,Substantial,Airplane,N88373,Bellanca,7GCAA,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,28-10-2004,2004,WA,NW,2.0,0.0,0.0,Substantial,2
57119,20040812X01203,Accident,SEA04CA141,2004-07-23,"MORTON, WA",United States,46.550278,-122.266389,,,Non-Fatal,Substantial,Airplane,N2527Y,Cessna,172D,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-10-2004,2004,WA,NW,1.0,0.0,0.0,Substantial,2
57128,20040812X01204,Accident,SEA04CA142,2004-07-24,"BAINVILLE, MT",United States,48.077778,-104.195,NONE,Private,Non-Fatal,Substantial,Airplane,N92824,Cessna,182N,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-10-2004,2004,MT,NW,1.0,0.0,0.0,Substantial,2
57129,20040810X01177,Accident,SEA04CA140,2004-07-24,"DRIGGS, ID",United States,43.742222,-111.101111,,,Non-Fatal,Substantial,Airplane,N991C,Aviat Aircraft Inc,A-1B,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-10-2004,2004,ID,NW,1.0,0.0,0.0,Substantial,2
57131,20040819X01253,Accident,NYC04CA180,2004-07-24,"PENCE SPRINGS, WV",United States,37.667778,-80.700833,WV77,Hinton-Alderson Airport,Non-Fatal,Substantial,Airplane,N24VV,Cessna,182Q,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-10-2004,2004,WV,NE,1.0,0.0,0.0,Substantial,2
57132,20040917X01452,Accident,MIA04CA118,2004-07-24,"SUGAR LOAF KEY, FL",United States,24.648611,-81.5775,7FA1,Sugar Loaf Airport,Non-Fatal,Substantial,Airplane,N4590F,Piper,PA-28-151,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,03-12-2004,2004,FL,SE,4.0,0.0,0.0,Substantial,2
57133,20040816X01230,Accident,LAX04CA279,2004-07-24,"MINDEN, NV",United States,38.999444,-119.752778,MEV,Minden-Tahoe,Non-Fatal,Substantial,Airplane,N268DM,Aviat Aircraft Inc,A-1B,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,29-09-2004,2004,NV,SW,2.0,0.0,0.0,Substantial,2
57138,20040810X01189,Accident,SEA04CA144,2004-07-25,"SEATTLE, WA",United States,47.53,-122.301944,BFI,BOEING FIELD/KING COUNTY INTL,Non-Fatal,Substantial,Airplane,N663W,Piper,Aerostar 602P,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,28-10-2004,2004,WA,NW,2.0,0.0,0.0,Substantial,2
57140,20040818X01246,Accident,CHI04CA195,2004-07-25,"OMAHA, NE",United States,41.368334,-96.0225,3NO,North Omaha,Non-Fatal,Substantial,Airplane,N9290W,Piper,PA-28-235,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-10-2004,2004,NE,NW,1.0,0.0,0.0,Substantial,2
57141,20040818X01245,Accident,CHI04CA194,2004-07-25,"NOBLESVILLE, IN",United States,40.003611,-87.964722,I80,Noblesville,Non-Fatal,Substantial,Airplane,N3708D,Cessna,182A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,3.0,1.0,VMC,Descent,Probable Cause,28-10-2004,2004,IN,NE,4.0,0.0,75.0,Substantial,2
57162,20040826X01291,Accident,ATL04CA163,2004-07-29,"INMAN, SC",United States,35,-82.183333,PVT,Windridge (Private Strip),Non-Fatal,Substantial,Airplane,N3967F,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,2.0,0.0,VMC,Maneuvering,Probable Cause,28-06-2006,2004,SC,SE,2.0,0.0,100.0,Substantial,2
57169,20040803X01135,Accident,SEA04FA150,2004-07-31,"GRAHAM, WA",United States,47.051667,-122.318056,,,Non-Fatal,Substantial,Airplane,N97599,Stinson,108,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,1.0,VMC,Maneuvering,Probable Cause,01-02-2016,2004,WA,NW,2.0,0.0,50.0,Substantial,2
57172,20040917X01453,Accident,MIA04CA114,2004-07-31,"WIMAUMA, FL",United States,27.711944,-82.282778,FD77,Wimauma Air Park,Non-Fatal,Substantial,Airplane,N89617,Cessna,140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,03-12-2004,2004,FL,SE,1.0,0.0,0.0,Substantial,2
57173,20040812X01209,Accident,FTW04CA200,2004-07-31,"BAY CITY, TX",United States,28.973056,-95.863333,BYY,Bay City Municipal Airport,Non-Fatal,Substantial,Airplane,N75272,Boeing,A75N1,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,29-09-2004,2004,TX,SW,1.0,0.0,0.0,Substantial,2
57183,20040830X01320,Accident,CHI04CA210,2004-07-31,"Plymouth, MI",United States,42.348055,-83.456389,1D2,Canton-Plymouth-Mettetal,Non-Fatal,Destroyed,Airplane,N77782,Piper,PA-28RT-201T,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,2.0,VMC,Takeoff,Probable Cause,28-10-2004,2004,MI,NE,3.0,0.0,33.33333333333333,Destroyed,3
57197,20040830X01314,Accident,ATL04CA165,2004-08-02,"BREWTON, AL",United States,31.105278,-87.072223,K12J,Brewton Municipal,Non-Fatal,Substantial,Airplane,N9663M,Mooney,M20F,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,28-10-2004,2004,AL,SE,2.0,0.0,0.0,Substantial,2
57214,20040901X01343,Accident,LAX04CA286,2004-08-05,"GLENDALE, AZ",United States,33.526945,-112.295277,KGEU,Glendale Muni,Non-Fatal,Substantial,Airplane,N1529A,Piper,PA-20,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,28-10-2004,2004,AZ,SW,2.0,0.0,0.0,Substantial,2
57217,20041005X01569,Accident,ANC04CA088,2004-08-05,"KENAI, AK",United States,60.763889,-151.889166,,,Non-Fatal,Substantial,Airplane,N3481U,Cessna,182F,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,03-12-2004,2004,AK,NW,2.0,0.0,0.0,Substantial,2
57223,20040831X01330,Accident,ANC04CA089,2004-08-06,"BIG LAKE, AK",United States,61.575,-149.866667,,,Non-Fatal,Substantial,Airplane,N4433N,Aeronca,15AC,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,28-10-2004,2004,AK,NW,1.0,0.0,0.0,Substantial,2
57242,20040908X01360,Accident,DEN04CA117,2004-08-08,"JACKSON HOLE, WY",United States,43.600556,-110.733611,JAC,JACKSON HOLE,Non-Fatal,Substantial,Airplane,N11640,Mooney,M20K,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,28-10-2004,2004,WY,NW,1.0,0.0,100.0,Substantial,2
57254,20040908X01359,Accident,DEN04CA120,2004-08-10,"DURANGO, CO",United States,37.203056,-107.869167,5CO0,Durango-Animas Airpark,Non-Fatal,Substantial,Airplane,N6212Q,Mooney,M20J,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,3.0,VMC,Approach,Probable Cause,28-10-2004,2004,CO,SW,4.0,0.0,25.0,Substantial,2
57255,20041109X01794,Accident,CHI04CA221,2004-08-10,"NAPPANEE, IN",United States,41.446111,-85.934722,,,Non-Fatal,Substantial,Airplane,N7940Q,Cessna,310Q,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,5.0,VMC,Takeoff,Probable Cause,28-12-2004,2004,IN,NE,5.0,0.0,0.0,Substantial,2
57265,20040927X01496,Accident,MIA04CA109,2004-08-12,"MIAMI, FL",United States,25.647777,-80.432778,,,Non-Fatal,Substantial,Airplane,N21063,Cessna,172SP,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,09-06-2009,2004,FL,SE,2.0,0.0,0.0,Substantial,2
57288,20040917X01457,Accident,CHI04CA228,2004-08-15,"ELKHART, IN",United States,41.719445,-86.001667,,,Non-Fatal,Substantial,Airplane,N4303A,Piper,PA-22-150,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,03-12-2004,2004,IN,NE,2.0,0.0,0.0,Substantial,2
57296,20040928X01509,Accident,DEN04CA125,2004-08-16,"DUBOIS, WY",United States,43.8,-109.533333,,,Non-Fatal,Substantial,Airplane,N167MC,Maule,M-6-235,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,03-12-2004,2004,WY,NW,2.0,0.0,50.0,Substantial,2
57298,20040909X01373,Accident,SEA04CA170,2004-08-17,"PITTSBURG, OR",United States,45.618056,-116.468056,NONE,Pittsburg Landing,Non-Fatal,Substantial,Airplane,N52096,Cessna,180J,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,28-10-2004,2004,OR,NW,2.0,0.0,0.0,Substantial,2
57312,20040929X01516,Accident,FTW04CA228,2004-08-18,"SAN ANTONIO, TX",United States,29.8125,-98.425278,1T7,Kestrel Airpark,Non-Fatal,Substantial,Airplane,N3379X,Mooney,M20E,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,03-12-2004,2004,TX,SW,1.0,0.0,0.0,Substantial,2
57326,20040907X01354,Accident,FTW04CA218,2004-08-20,"Groveton, TX",United States,31.094444,-95.162778,,,Non-Fatal,Destroyed,Airplane,N8140R,Beech,BE-58,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-10-2004,2004,TX,SW,1.0,0.0,0.0,Destroyed,3
57338,20040909X01384,Accident,CHI04CA240,2004-08-22,"HOWELL, MI",United States,42.629445,-83.984166,,,Non-Fatal,Substantial,Airplane,N15JH,Stinson,V77,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-10-2004,2004,MI,NE,1.0,0.0,0.0,Substantial,2
57339,20040916X01441,Accident,CHI04CA239,2004-08-22,"GOLDEN, MO",United States,37.665278,-94.158889,,,Non-Fatal,Substantial,Airplane,N23316,Cessna,150H,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-10-2004,2004,MO,NE,1.0,0.0,0.0,Substantial,2
